date,event,nouns
2022-02-15,ALP,"['스키여왕', '시프린', '5관왕', '해프닝']"
2022-02-15,ALP,"['최사라', '장애인동계체전대회', '알파인스키', '대회전', '금메달']"
2022-02-15,ALP,"['베이징올림픽', '스키여제', '시프린', '노메달', '위', '스키', '활강', '18위']"
2022-02-15,ALP,"['2022베이징', '이변', '코린', '수터', '女', '알파인스키', '활강', '우승']"
2022-02-15,ALP,"['다관왕', '스키여제', '시프린', '빈손']"
2022-02-15,ALP,"['스키', '여제', '시프린', '활강', '노메달', '거', '복합', '뿐']"
2022-02-15,ALP,"['스키여제', '시프린', '베이징동계올림픽', '4종목째', '노메달', '부진']"
2022-02-15,ALP,"['시프린', '알파', '스키', '활강', '18위', '금메달', '스위스', '수터']"
2022-02-15,ALP,"['시프린', '활강', '18위', '4종목', '연속', '노메달', '베이징올림픽']"
2022-02-15,ALP,"['올림픽', '스키여제', '시프린', '알파', '활강', '18위', '금메달', '스위스', '수터']"
2022-02-15,ALP,"['올림픽', '시프린', '알파', '스키', '활강', '18위', '금메달', '스위스', '수터', '종합']"
2022-02-15,ALP,"['2022', '베이징', '시프린', '빈손', '알파', '스키', '활강', '완주']"
2022-02-15,ALP,"['올림픽', '스키여제', '시프린', '알파', '스키', '활강', '메달', '실패']"
2022-02-15,ALP,"['스키', '여제', '시프린', '베이징', '노', '메달']"
2022-02-15,ALP,"['올림픽', '시프린', '알파', '스키', '활강', '완주', '4종목째', '노메달']"
2022-02-15,ALP,"['터널', '끝', '빛', '희귀병', '설원', '영웅']"
2022-02-15,SJP,"['스키점프', '라지힐', '동메달', '칼', '가이거', '복장', '불량', '베이징올림픽']"
2022-02-15,BTH,"['바이애슬론', '최강', '노르웨이', '올림픽', '기록', '도전', '설원', '철인']"
2022-02-15,BTH,"['바이애슬론', '최강', '노르웨이', '역사', '도전', '마이예', '베이징올림픽']"
2022-02-15,IHO,"['귀화선수', '끌어모', '중국', '은근슬쩍', '이중국적', '허용']"
2022-02-15,CCS,"['꼴찌', '투혼', '1등', '품격', '이것', '진짜', '올림픽']"
2022-02-15,CCS,"['내', '속옷', '모터', '확인', '러시아', '여자', '스키', '수', '금지', '윤활유', '사용', '의혹', '제', '기자', '호통']"
2022-02-15,STK,"['베이징올림픽', '소년팬', '삼촌', '국대동료', '이준서', '곽윤기', '16일', '메달사냥']"
2022-02-15,STK,"['계주', '결승', '김아랑', '부정출발', '고도', '작전']"
2022-02-15,STK,"['스포츠머그', '본업', '유튜버', '부업', '스케이터', '쇼트트랙', '계주', '결승', '맏형', '곽윤기', '출사표']"
2022-02-15,STK,"['최민정', '마지막', '격', '맹연습', '지금까지', '모습']"
2022-02-15,STK,"['金', '잡을게요', '맏형', '곽윤기', '16년', '쇼트트랙', '男', '계주', '한']"
2022-02-15,STK,"['올림픽', '2연패', '도전', '최민정', '1500m', '준준결승', '스휠팅']"
2022-02-15,STK,"['곽윤기', '유쾌', '도전', '노장', '향기', '태']"
2022-02-15,STK,"['빙상', '위', '해결사', '장외', '소통왕', '맏형', '곽윤기', '신드롬']"
2022-02-15,STK,"['발', '눈', '반칙왕', '은', '한국', '쇼트트랙', '수', '황당', '영화', '개봉', '중국']"
2022-02-15,STK,"['2022베이징', '16일', '한국', '쇼트트랙', '대표팀', '金따', '자존심', '회복', '노']"
2022-02-15,STK,"['스휠팅', '최민정', '김아랑', '이유빈', '女1500m', '준준결승', '조편성']"
2022-02-15,STK,"['부정출발', '고의', '쇼트트랙', '여자', '3000m', '계주', '김아랑', '하인드', '스토리']"
2022-02-15,STK,"['스포츠머그', '쇼트트랙', '1', '500m', '디펜딩', '챔피언', '최민정', '마지막', '경기', '각오']"
2022-02-15,STK,"['개인방송', '시대', '올림픽', '송용준', '기자', '동티엔', '베이징']"
2022-02-15,STK,"['계주', '은메달', '김아랑', '부정', '출발', '실수', '작전']"
2022-02-15,STK,"['최민정', '이유빈', '스휠팅', '쇼트트랙', '1500m', '준준결승', '조', '배정']"
2022-02-15,FRS,"['너', '인스타', '검열', '특권', '논란', '中', '스키영웅']"
2022-02-15,FRS,"['中', '에일린', '구', '스키', '슬로프', '스타', '銀']"
2022-02-15,FRS,"['스포츠', '영상', '스위스', '그레모', '환상', '공중', '묘', '슬로프스타', '금메달']"
2022-02-15,FRS,"['중국인', '인스타', '막', '中', '에일린', '특별대우']"
2022-02-15,FRS,"['에일린', '구', '프리스타일스키', '슬로프스타', '은메달', '시프린', '활강', '노', '메달']"
2022-02-15,FRS,"['올림픽', '금1', '은1', '에일린', '구', '목표', '달성', '자', '종목', '남아']"
2022-02-15,FRS,"['스키복', '판매', '20배', '얼굴', '커피', '완판', '中', '구아이링', '앓', '베이징올림픽']"
2022-02-15,FRS,"['올림픽', '미국계', '중국인', '에일린', '구', '프리스타', '슬로프스타', '銀', '획득']"
2022-02-15,FRS,"['에일린', '구', '프리스타', '슬로프스타일', '은메달']"
2022-02-15,FRS,"['에일린', '구', '프리스타', '슬로프스타일에서', '은메달']"
2022-02-15,FRS,"['베이징올림픽', '미국', '중국', '에일린', '구', '스키', '슬로프스타', '은메달', '추가']"
2022-02-15,FRS,"['스키', '여왕', '시프린', '한숨', '네', '번', '종목', '활강', '18위']"
2022-02-15,FRS,"['올림픽', '올림픽', '스타', '에일린', '구', '프리스타', '슬로프스타', '은메달']"
2022-02-15,FRS,"['시프린', '스키', '네', '종목째', '노메달', '복합', '남아']"
2022-02-15,FRS,"['영상', '중국', '스타', '에일린', '구', '스키', '슬로프스타', '은메달']"
2022-02-15,FRS,"['에일린', '구', '프리스타', '슬로프스타', '은메달', '베이징2022']"
2022-02-15,FRS,"['美', '출신', '中', '수퍼스타', '에일린', '구', '프리스타', '슬로프스타', '은메달']"
2022-02-15,FRS,"['2022베이징', '에일린', '구', '슬로프스타일서', '은메달', '금메달', '누구']"
2022-02-15,FRS,"['올림픽', '에일린', '구', '프리스타', '슬로프스타일에서', '은메달']"
2022-02-15,FRS,"['올림픽', '美', '프리스타', '스키', '마', '해밀', '부상', '결선', '전', '포기']"
2022-02-15,FRS,"['프리스타일', '간판', '장유진', '격', '준비', '완료']"
2022-02-15,NCB,"['노르딕복합', '선구', '박제언', '라지힐', '개', '10km', '44위', '올림픽', '노르디복합']"
2022-02-15,NCB,['44th']
2022-02-15,NCB,"['베이징올림픽', '노르딕복합', '박제언', '최종', '44위', '평창', '기록', '경신']"
2022-02-15,NCB,"['베이징', '국내', '유', '박제언', '44위', '韓', '노르딕복합', '역사']"
2022-02-15,NCB,"['베이징', '박제언', '노르딕복합', '라지힐', '10㎞', '최종', '44위']"
2022-02-15,NCB,"['2022베이징', '47위', '44위', '평창', '기록', '경신한', '노르딕', '박제언']"
2022-02-15,NCB,"['올림픽', '노르딕복합', '박제언', '라지힐', '개', '10km', '최종', '44위']"
2022-02-15,NCB,"['베이징올림픽', '韓', '노르딕복합', '1호', '박제언', '라지힐10㎞', '스키점프', '39위']"
2022-02-15,NCB,"['2022베이징', '노르딕', '복합', '전', '박제언', '스키점프', '39위', '기록']"
2022-02-15,NCB,"['올림픽', '노르딕복합', '박제언', '라지힐', '10km', '스키점프', '39위']"
2022-02-15,NCB,"['최고', '순위', '도전', '박제언', '라지힐', '10km', '스키점프', '39위', '올림픽', '노르딕복합']"
2022-02-15,NCB,"['올림픽', '노르딕복합', '1호', '박제언', '두', '번', '도전', '라지힐서', '최고', '성적']"
2022-02-15,SKN,"['자랑', '국가대표', '스켈레톤', '김은지', '자부심']"
2022-02-16,ALP,"['스쿼트', '3주', '전', '부상', '은메달', '고', '베이징올림픽']"
2022-02-16,ALP,"['폭설', '탓', '허망', '실격', '정동현', '주', '종목', '회전', '한국', '역대', '최고', '순위', '노']"
2022-02-16,ALP,"['시속', '40㎞', '강풍', '벽돌공', '딸']"
2022-02-16,IHO,"['남자', '아이스하키', '8강', '돌입', '전', '오늘경기']"
2022-02-16,IHO,"['너희', '美', '6번', '결승전', '주목', '경기']"
2022-02-16,CCS,"['멘트', '수', '韓', '美', '해설진', '발리예바', '연기', '침묵']"
2022-02-16,CCS,"['베이징', '스타', '한국', '크로스컨트리', '대표팀', '마지막', '경기', '팀스프린트', '클래식']"
2022-02-16,FRS,"['베이징', '수', '중국', '에일린', '구', '열풍']"
2022-02-16,FRS,"['중국', '칭찬', '뒤', '트위터', '계정', '폐쇄', '나', '잘못', '미국대표', '황당', '베이징올림픽']"
2022-02-16,NCB,"['경기', '직전', '코', '격리', '극', '해제', '수', '코스', '금메달']"
2022-02-16,NCB,"['코로나19', '코스', '금메달', '불운', '사나이', '베이징올림픽']"
2022-02-16,NCB,"['코로나19', '격리', '노르웨', '수', '코스', '금메달']"
2022-02-16,NCB,"['격리', '해제', '후', '24시간', '만', '金', '눈앞', '코스', '이탈', '눈물', '베이징올림픽']"
2022-02-16,NCB,"['韓', '최초', '유', '노르딕', '복합', '개척자', '박제언', '고독한', '질주', '베이징올림픽']"
2022-02-16,NCB,"['올림픽', '코로나19', '격리', '노르웨', '수', '코스', '금메달']"
